Frase,Personaje
I hope I didn't brain my damage.,Homer Simpson
Frase,Personaje
Yeah. Call this an unfair generalization if you must.. but old people are no good at everything,Moe Szyslak
Frase,Personaje
Eat my shorts,Bart Simpson
Frase,Personaje
"Oh, wow, windows. I don't think I could afford this place.",Otto
Frase,Personaje
Oh Yeah!,Duffman
Frase,Personaje
Ahh! Sweet liquor eases the pain.,Troy McClure
Frase,Personaje
They taste like...burning.,Ralph Wiggum
Frase,Personaje
Nothing you say can upset us. We're the MTV generation.,Bart Simpson
